timestamp,display_backlight,external_temperature,boiler_in_pipe_temperature,BINARY_SENSOR_2_ENERGY,heat_pump_power_consumption,temperature_sensor_2,hot_water_cylinder_boiler_coil_in_pipe_temperature,zone_1_temperature,boiler_heat_request_for_heating_zone_1,boiler_out_pipe_temperature,daily_schedule_occupancy_in_zone_1,WATER_PULSE_METER_1,daily_schedule_occupancy_asleep_zone_1,hot_water_cylinder_out_pipe_temperature,user_setpoint_zone_1,daily_schedule_occupancy_out_zone_1,WATER_PULSE_METER_2,heat_pump_energy_consumption,temperature_sensor_1
2014-01-16 15:49,1.0,8.5805840659761099,26.791517140746958,1.0,0.43189593147493155,16.93,27.18,21.5,0.0,27.992278056855149,nan,2.0,nan,36.119999999999997,18.641919784522393,nan,1.0,11413.038371301342,25.90382246993914
2014-01-16 16:04,1.0,8.3307922268075263,27.799822464574721,1.0,0.154,16.593822429706002,26.68,21.5,0.0,28.059999999999999,nan,2.0,nan,36.074177554200745,19.141919782601541,nan,1.0,11413.063310151312,25.75
2014-01-16 16:19,1.0,8.0866891882258365,25.911467329351147,1.0,0.37499059550408098,16.809999999999999,26.309999999999999,21.399999999999999,0.0,27.18,nan,2.0,nan,36.270355151316828,19.641919780680688,nan,1.0,11413.138307455092,25.43
2014-01-16 16:34,1.0,7.9116891887147807,27.069822431166177,1.0,0.155,16.870000000000001,25.997873866431348,21.399999999999999,0.0,27.32782243507042,nan,2.0,nan,36.255822418977168,20.141919778759835,nan,1.0,11413.163477095315,25.370000000000001
2014-01-16 16:49,1.0,7.7366891892037257,25.337644832589913,1.0,0.34675237308456741,16.93,25.68,21.399999999999999,0.0,26.018626569541922,nan,2.0,nan,36.389073343668777,20.641919776838982,nan,1.0,11413.238537966912,25.061822400201702
2014-01-16 17:04,1.0,7.5616891896926699,25.824809693603001,1.0,0.15476156723228848,17.0,25.43,21.399999999999999,0.0,26.081822398979689,nan,2.0,nan,36.119999999999997,20.957424067503744,nan,1.0,11413.299999999999,24.870000000000001
2014-01-16 17:19,1.0,7.3980958110317125,24.866437583651397,1.0,0.39621646630071006,17.0,25.18,21.399999999999999,0.0,25.787593300646144,nan,2.0,nan,35.983873894594545,20.807424068006657,nan,1.0,11413.338537966267,24.625822378744029
2014-01-16 17:34,1.0,7.3730610405657497,26.120000000000001,1.0,0.155,9.9256447628524764,25.0,21.633997463162494,0.0,26.370000000000001,nan,2.0,nan,48.302406833464318,20.657424068509574,nan,1.0,11413.412982706781,24.620000000000001
2014-01-16 17:49,1.0,7.3480262700997878,24.879104136030829,1.0,0.39412751136460222,11.68,24.93,21.852928760248989,0.0,25.774437507208436,nan,2.0,nan,50.541562594715515,20.507424069012487,nan,1.0,11413.450000000001,24.559999999999999
2014-01-16 18:04,1.0,7.322991499633825,26.0,1.0,0.154,13.0,24.870000000000001,21.989999999999998,0.0,26.217277925578728,nan,2.0,nan,47.107523565114434,20.3574240695154,nan,1.0,11413.513537965428,24.559999999999999
2014-01-16 18:19,1.0,7.2959247941145335,24.75,1.0,0.33988449250590758,14.18,24.809999999999999,22.09,0.0,25.45857090554064,nan,2.0,nan,41.93,20.207424070018316,nan,1.0,11413.588537965235,24.5
2014-01-16 18:34,1.0,7.2459941425633243,25.649822330464264,1.0,0.155,14.93,24.809999999999999,22.190000000000001,0.0,25.870000000000001,nan,2.0,nan,41.296177704404457,20.057424070521229,nan,1.0,11413.613515438981,24.559999999999999
2014-01-16 18:49,1.0,7.1960634910121142,24.809999999999999,1.0,0.40012556929889737,13.06,24.75,22.289999999999999,0.0,26.278519219369841,nan,2.0,nan,45.91217768562899,19.907424071024145,nan,1.0,11413.688518829216,24.43
2014-01-16 19:04,1.0,7.1461328394609041,26.597822287548915,1.0,0.154,12.88782227413787,24.809999999999999,22.339414988869976,0.0,26.809999999999999,nan,2.0,nan,46.302355462453093,19.757424071527058,nan,1.0,11413.763515438754,24.645822271455661
2014-01-16 19:19,1.0,7.0999999999999996,25.101822266091244,1.0,0.40632777542137388,12.25,24.809999999999999,22.390000000000001,0.0,26.535185528408618,nan,2.0,nan,45.566533137353247,19.607424072029971,nan,1.0,11413.799999999999,24.68
2014-01-16 19:34,1.0,7.0999999999999996,26.75,1.0,0.15675759270425815,13.5,24.870000000000001,22.390000000000001,0.0,27.053380976055543,nan,2.0,nan,42.452722175004148,19.457424072532888,nan,1.0,11413.863337895291,24.75
2014-01-16 19:49,1.0,7.0999999999999996,25.18,1.0,0.40399491536959503,14.43,24.93,22.390000000000001,0.0,26.581903825366727,nan,2.0,nan,40.45120738894488,19.307424073035801,nan,1.0,11413.938363414751,24.75
2014-01-16 20:04,1.0,7.0999999999999996,27.169822223175895,1.0,0.156,11.060355500004023,24.93,22.390000000000001,0.0,27.43,nan,2.0,nan,53.969281530039403,19.157424073538714,nan,1.0,11414.054061749228,24.93
2014-01-16 20:19,1.0,7.0979890216079546,39.717051742497191,1.0,3.7574092852468226,16.417103723710998,48.637466613201298,22.390000000000001,0.0,48.315770296947377,nan,2.0,nan,47.010177776824101,19.00742407404163,nan,1.0,11414.661455558067,40.083644451716211
2014-01-16 20:34,1.0,7.0730098376910959,36.349044711085838,1.0,0.15575759249598339,29.227277740737762,53.134341311944638,22.390000000000001,0.0,34.507044741931239,nan,2.0,nan,42.93,18.857424074544543,nan,1.0,11415.413537962913,46.521809529078148
