timestamp,external_temperature,boiler_in_pipe_temperature,boiler_out_pipe_temperature,hw_cylinder_in_temp,HUB_BUTTON_,humidity_sensor_1,boiler_heat_request_heating_z1,ELECTRIC_PULSE_METER_1_ENERGY,ELECTRIC_PULSE_METER_4_ENERGY,BINARY_SENSOR_6_ENERGY,temperature_sensor_2,heat_pump_energy_consumption,temperature_sensor_1,display_backlight,local_ext_temp,BINARY_SENSOR_1_ENERGY,HUB_BUTTON_ENERGY,hw_cylinder_out_temp,z1_in_occup,display_button_press,z1_aslp_occup,z1_out_occup,zone_1_temperature,setpoint_z1_temp,display_spurious_touch,WATER_PULSE_METER_1
2014-01-16 15:49,6.9000000000000004,14.31,14.18,34.5,1.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.0,12.82,0.0,1.0,45.5,282.0,297376744.0,282.0,282.0,12.31,8.0,297376738.0,513.0
2014-01-16 16:04,6.9000000000000004,14.31,14.18,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.92057744827523391,12.82,0.0,1.0,45.5,282.0,297379089.28076565,282.0,282.0,12.31,9.9200240714943284,297379081.96963507,513.0
2014-01-16 16:19,6.8962755663998259,14.31,14.18,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.20383662459850638,11.822801875273063,0.0,1.0,45.5,282.0,297381978.14655232,282.0,282.0,12.147790586844986,12.363093233288023,297381891.79994321,513.0
2014-01-16 16:34,6.8463150428889854,14.31,14.18,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.13766740887600834,12.078634694805292,0.0,1.0,45.5,282.0,297384754.47237867,282.0,282.0,11.747609818491828,14.806162395081715,297384695.63378763,513.0
2014-01-16 16:49,6.7963545193781449,14.31,14.18,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.33170281311649563,12.371348232820367,0.0,1.0,45.5,282.0,297387705.24790895,282.0,282.0,11.462803340427374,17.249231556875408,297387731.73335582,513.0
2014-01-16 17:04,6.7463939958673054,14.31,14.18,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.85448329628977215,12.715590263246236,0.0,1.0,45.5,282.0,297390364.19654119,282.0,282.0,11.31,18.900819671043795,297390395.65529984,513.0
2014-01-16 17:19,6.7035744371704631,14.31,14.18,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.19784489120914028,12.82,0.0,1.0,45.5,282.0,297393326.31559604,282.0,282.0,11.25,18.550820896529629,297393154.38562775,513.0
2014-01-16 17:34,6.753645758674617,14.31,14.18,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.39083356839815386,12.785179075442894,0.0,1.0,45.5,282.0,297395938.25954407,282.0,282.0,11.119999999999999,18.200822122015467,297395939.6081953,513.0
2014-01-16 17:49,6.8037170801787719,14.315162657733746,14.192868639800352,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.99975713131124277,12.964812267159358,0.0,1.0,45.5,282.0,297398972.80318493,282.0,282.0,11.119999999999999,17.850823347501304,297398929.56781727,513.0
2014-01-16 18:04,6.8537884016829267,14.329812791202924,14.229271353430649,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.99840147792622458,13.203632619495753,0.0,1.0,45.5,282.0,297402248.20251441,282.0,282.0,11.2482737846537,17.500824572987142,297402250.53708959,513.0
2014-01-16 18:19,6.9038490830186072,14.344462924672104,14.265674067060946,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.99704582454120649,13.356159428615548,0.0,1.0,45.5,282.0,297405571.73489338,282.0,282.0,11.25,17.150825798472976,297405571.5063619,513.0
2014-01-16 18:34,6.9537823720083303,14.359113058141283,14.302076780691243,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.9956901711561883,13.35,0.0,1.0,45.5,282.0,297408895.26727235,282.0,282.0,11.31,16.800827023958814,297408892.47563422,513.0
2014-01-16 18:49,7.0037156609980542,14.373763191610461,14.33847949432154,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.99433451777117021,13.267882997028732,0.0,1.0,45.5,282.0,297412218.79965132,282.0,282.0,11.31,16.450828249444651,297412213.44490653,513.0
2014-01-16 19:04,7.0536489499877781,14.38841332507964,14.374882207951837,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.99297886438615202,13.16,0.0,1.0,45.5,282.0,297415542.33203036,282.0,282.0,11.369999999999999,16.100829474930489,297415534.41417879,513.0
2014-01-16 19:19,7.0982056852590247,14.403063458548818,14.411284921582133,34.5,0.0,94.290000000000006,0.0,1.0,0.0,0.0,15.5,0.10000000000000001,37.5,0.99162321100113393,13.044027935721871,0.0,1.0,45.5,282.0,297418865.86440933,282.0,282.0,11.369999999999999,15.750830700416325,297418855.3834511,513.0
