timestamp,display_backlight,daily_schedule_occupancy_in_zone_1,heat_pump_power_consumption,zone_1_temperature,temperature_sensor_2,boiler_in_pipe_temperature,boiler_heat_request_for_heating_zone_1,boiler_out_pipe_temperature,daily_schedule_occupancy_out_zone_1,heat_pump_energy_consumption,external_temperature,daily_schedule_occupancy_asleep_zone_1,hot_water_cylinder_out_pipe_temperature,user_setpoint_zone_1,hot_water_cylinder_boiler_coil_in_pipe_temperature,WATER_PULSE_METER_2,WATER_PULSE_METER_1,temperature_sensor_1
2014-01-16 15:49,1.0,nan,0.050000000000000003,21.454806354031327,21.870000000000001,43.846355065486136,0.0,52.96071803410161,nan,14187.336742602742,8.9442985330247158,nan,40.810000000000002,18.641919784522393,42.75,0.0,931949.0,42.364177540789697
2014-01-16 16:04,1.0,nan,0.050275739820345632,21.42602390617396,23.43,40.842041460236153,0.0,48.030177548836328,nan,14187.450000000001,8.8693401767491231,nan,39.93,19.141919782601541,39.810000000000002,0.0,931949.0,39.319541442660217
2014-01-16 16:19,1.0,nan,0.050000000000000003,21.489999999999998,24.120000000000001,37.917041480378792,0.0,43.793291472023206,nan,14187.493299135336,8.7887667595735159,nan,39.278291461519508,19.641919780680688,37.078177572976209,0.0,931949.0,36.68
2014-01-16 16:34,1.0,nan,2.3083440887638402,21.489999999999998,24.309999999999999,36.555576795293227,0.0,43.75,nan,14187.748303736638,8.6388916560723654,nan,38.852177564929576,20.141919778759835,36.485948603507794,0.0,932070.669411259,42.353644827225494
2014-01-16 16:49,1.0,nan,2.5536320478398826,21.477686030233372,24.43,42.355822405566116,0.0,49.738126161731849,nan,14188.347146579352,8.4890165525712149,nan,38.692615241117196,20.641919776838982,42.275917022949855,0.0,932290.65126473177,47.87982239751949
2014-01-16 17:04,1.0,nan,0.050999999999999997,21.422887206485274,12.18,40.836177610527137,0.0,46.144541502669526,nan,14188.517889644765,8.3391414490700644,nan,47.193384793751527,20.957424067503744,42.619999999999997,0.0,932342.0,42.182540555002724
2014-01-16 17:19,1.0,nan,0.050999999999999997,21.551422454512156,13.466201728892853,38.099541518097375,0.0,42.469873875819083,nan,14188.549999999999,8.2017934222282989,nan,43.619999999999997,20.807424068006657,39.43,0.0,932342.0,38.946540573778186
2014-01-16 17:34,1.0,nan,0.050999999999999997,21.489999999999998,14.68,35.489256793116105,0.0,39.046177623938185,nan,14188.604545711745,8.2268351583689103,nan,45.150177629302597,20.657424068509574,36.832177631984806,0.0,932342.0,36.396177650760272
2014-01-16 17:49,1.0,nan,2.4303440841608972,21.499334194609052,17.304208463043334,39.190888290840235,0.0,45.259415526504249,nan,14189.047427518899,8.25187689450952,nan,42.5,20.507424069012487,38.675948429164194,0.0,932569.22312649444,44.271822358746576
2014-01-16 18:04,1.0,nan,2.6187845658878945,21.502640651527727,19.915822325099846,45.283092368341812,0.0,51.161466967252906,nan,14189.647811020017,8.2769186306501297,nan,40.920791542745498,20.3574240695154,43.699493194629632,0.0,932788.85720271221,45.628052132072781
2014-01-16 18:19,1.0,nan,0.051999999999999998,21.561402041908494,22.469459360507688,42.832177672217945,0.0,47.328177681486537,nan,14189.9,8.2980461568953086,nan,40.057822341193102,20.207424070018316,42.424177661489111,0.0,932868.0,41.997873960308667
2014-01-16 18:34,1.0,nan,0.050999999999999997,21.59,23.404177688311201,39.780177669535739,0.0,43.713006837121114,nan,14189.9,8.2730877543560695,nan,39.320177696357831,20.057424070521229,39.310000000000002,0.0,932868.0,38.876177677582362
2014-01-16 18:49,1.0,nan,0.051999999999999998,21.530106750932731,23.620000000000001,36.91217768562899,0.0,39.947548444769659,nan,14189.9,8.2481293518168286,nan,38.562374797969987,19.907424071024145,36.695506871377837,0.0,932868.0,36.310000000000002
2014-01-16 19:04,1.0,nan,2.3859272482658787,21.52512373327534,16.870000000000001,38.382958398319261,0.0,45.25,nan,14190.379213783535,8.2231709492775895,nan,46.213006881126127,19.757424071527058,38.22574313412278,0.0,933051.23424769728,44.144541615825197
2014-01-16 19:19,1.0,nan,2.6259999999999999,21.482782867747382,17.81170838653221,44.789118309352702,0.0,50.987399262928918,nan,14190.991189691467,8.2071597405909102,nan,43.094177728544338,19.607424072029971,43.593822268773451,0.0,933270.87213580066,45.131664116332779
2014-01-16 19:34,1.0,nan,0.051999999999999998,21.59,15.06,40.812177739273174,0.0,43.869999999999997,nan,14191.218296110888,8.3071319701190358,nan,46.40417772854434,19.457424072532888,42.479207346839154,0.0,933367.0,42.006177758048636
2014-01-16 19:49,1.0,nan,0.051999999999999998,21.580263783476326,14.18,37.760177736590968,0.0,40.75,nan,14191.25,8.4071041996471632,nan,44.788177747319807,19.307424073035801,39.356177744637591,0.0,933367.0,38.896177771459683
2014-01-16 20:04,1.0,nan,0.050999999999999997,21.533415824469532,11.75,35.119999999999997,0.0,37.687207384390078,nan,14191.268423923324,8.5070764291752887,nan,47.021385159873077,19.157424073538714,36.75,0.0,933367.0,36.340177750002013
2014-01-16 20:19,1.0,nan,2.3569420766530254,21.59,11.883822215129268,37.901644408800863,0.0,45.046614770389489,nan,14191.647549619875,8.6035292297014099,nan,46.102177766095267,19.00742407404163,37.769644460001246,0.0,933534.48907150992,43.524436997588694
2014-01-16 20:34,1.0,nan,2.6309460634226753,21.54066395714484,14.936792587446725,44.370474388925693,0.0,52.937207431328737,nan,14192.247810997496,8.6535848468922367,nan,43.662177806328401,18.857424074544543,41.920177803646197,0.0,933765.50254960998,45.763524771542833
