"SerialNo","ReadingDate","THD Current Phase B","THD Voltage Phase C","Import Wh Total","Reactive Power Phase B (vars)","Active Power Phase C (Watts)","Voltage Phase A","Voltage PhaseA Maximum","THD Voltage Phase A","Voltage PhaseB Minimum","Active Power Phase A (Watts)","THD Current Phase C","Voltage PhaseA Minimum","THD Current Phase A","Voltage Phase B","Voltage PhaseC Maximum","Reactive Power Phase C (vars)","Active Power Phase B (Watts)","Voltage Phase C","Voltage PhaseC Minimum","THD Voltage Phase B","Reactive Power Phase A (vars)","Voltage PhaseB Maximum","Export Wh Total"
 212524165 ,"19/02/2013 14:30:00",,, 0 , 0.286 , 0 , 246.987 , 245.668 ,, 0.453 , 0 ,, 246.513 ,, 0.484 , 17.325 , 0.087 , 0 ,, 49.984 ,, 0 , 0.453 , 0 
 212524165 ,"19/02/2013 14:40:00",,,, 0.286 , 0 , 247.173 , 245.751 ,, 0.453 , 0 ,, 246.586 ,, 0.484 , 22.709 , 0.087 , 0 ,, 50 ,, 0 , 0.453 ,
 212524165 ,"19/02/2013 14:50:00",,,, 0.286 , 0 , 248.08 , 245.318 ,, 0.453 , 0 ,, 246.792 ,, 0.484 , 22.28 , 0.087 , 0 ,, 50.008 ,, 0 , 0.453 ,
 212524165 ,"19/02/2013 15:00:00",,, 0 , 0.286 , 0 , 246.441 , 244.833 ,, 0.453 , 0 ,, 245.823 ,, 0.484 , 22.786 , 0.087 , 0 ,, 50.027 ,, 0 , 0.453 , 0 
 212524165 ,"19/02/2013 15:10:00",,,, 0.286 , 0 , 246.153 , 244.576 ,, 0.453 , 0 ,, 245.627 ,, 0.877 , 22.478 , 0.087 , 0 ,, 49.945 ,, 0 , 0.453 ,
 212524165 ,"19/02/2013 15:20:00",,,, 0.286 , 0 , 247.297 , 245.009 ,, 0.453 , 0 ,, 246.338 ,, 0.484 , 21.885 , 0.087 , 0 ,, 49.922 ,, 0 , 0.453 ,
 212524165 ,"19/02/2013 15:30:00",,, 0.01 , 0.286 , 0 , 247.389 , 245.977 ,, 0.453 , 0.01 ,, 246.689 ,, 0.484 , 22.192 , 0.087 , 0 ,, 49.934 ,, 0 , 0.453 , 0 
 212524165 ,"19/02/2013 15:40:00",,,, 0.286 , 0 , 247.183 , 245.843 ,, 0.453 , 0 ,, 246.689 ,, 0.484 , 21.797 , 0.087 , 0 ,, 49.977 ,, 0 , 0.453 ,
 212524165 ,"19/02/2013 15:50:00",,,, 0.286 , 0 , 247.235 , 245.493 ,, 0.453 , 0 ,, 246.616 ,, 0.907 , 22.236 , 0.087 , 0 ,, 49.977 ,, 0 , 0.453 ,
 212524165 ,"19/02/2013 16:00:00",,, 0 , 0.327 , 0 , 247.07 , 245.575 ,, 0.484 , 0 ,, 246.462 ,, 0.605 , 22.874 , 0.087 , 0 ,, 49.941 ,, 0 , 0.453 , 0 
