"SerialNo","ReadingDate","Import Wh Total","Reactive Power Phase B (vars)","Active Power Phase C (Watts)","Voltage Phase A","Voltage PhaseA Maximum","Voltage PhaseB Minimum","Active Power Phase A (Watts)","Voltage PhaseA Minimum","Voltage Phase B","Voltage PhaseC Maximum","Reactive Power Phase C (vars)","Active Power Phase B (Watts)","Voltage PhaseC Minimum","Reactive Power Phase A (vars)","Voltage PhaseB Maximum","Export Wh Total"
 212524150 ,"11/03/2013 21:10:00",, 3.635 , 0 , 241.267 , 237.227 , 13.695 , 0.53 , 238.948 , 15.812 , 23.928 ,-0.059 , 0 , 49.992 , 0.04 , 4.474 ,
 212524150 ,"11/03/2013 21:20:00",, 1.184 , 0 , 243.751 , 240.546 , 4.505 , 0 , 242.154 , 4.807 , 22.126 , 0.178 , 0 , 50.016 , 0.16 , 4.323 ,
 212524150 ,"11/03/2013 21:30:00", 0.51 , 1.225 , 0 , 244.143 , 240.505 , 4.414 , 0 , 242.174 , 4.656 , 22.917 , 0.177 , 0 , 49.996 , 0.17 , 4.263 , 0 
 212524150 ,"11/03/2013 21:40:00",, 1.266 , 0 , 243.926 , 241.339 , 4.505 , 0 , 242.473 , 4.716 , 26.136 , 0.178 , 0 , 50.027 , 0.18 , 4.384 ,
 212524150 ,"11/03/2013 21:50:00",, 1.266 , 0 , 242.69 , 241.102 , 4.626 , 0 , 242.308 , 4.837 , 27.334 , 0.178 , 0 , 50.055 , 0.18 , 4.505 ,
 212524150 ,"11/03/2013 22:00:00", 0.42 , 1.266 , 0 , 243.071 , 242.02 , 4.535 , 0 , 242.669 , 4.807 , 26.697 , 0.178 , 0 , 50.023 , 0.17 , 3.174 , 0 
 212524150 ,"11/03/2013 22:10:00",, 0.531 , 0 , 242.494 , 240.206 , 1.814 , 0 , 241.546 , 3.295 , 26.29 , 0.138 , 0 , 50.074 , 0.07 , 0.816 ,
 212524150 ,"11/03/2013 22:20:00",, 0.245 , 0 , 240.463 , 239.185 , 0.877 , 0 , 239.897 , 0.937 , 26.246 , 0.119 , 0 , 49.953 , 0.03 , 0.816 ,
 212524150 ,"11/03/2013 22:30:00", 0.1 , 0.245 , 0 , 241.7 , 239.886 , 0.907 , 0 , 240.814 , 0.967 , 27.202 , 0.121 , 0 , 49.98 , 0.03 , 0.847 , 0 
 212524150 ,"11/03/2013 22:40:00",, 0.245 , 0 , 242.051 , 240.226 , 0.937 , 0 , 241.205 , 0.998 , 25.214 , 0.12 , 0 , 49.969 , 0.04 , 0.877 ,
 212524150 ,"11/03/2013 22:50:00",, 0.245 , 0 , 242.246 , 241.01 , 0.907 , 0 , 241.659 , 0.998 , 26.312 , 0.121 , 0 , 49.965 , 0.03 , 0.877 ,
 212524150 ,"11/03/2013 23:00:00", 0.1 , 0.245 , 0 , 243.535 , 241.814 , 0.937 , 0 , 242.782 , 1.028 , 26.51 , 0.121 , 0 , 49.988 , 0.03 , 0.877 , 0 
 212524150 ,"11/03/2013 23:10:00",, 0.245 , 0 , 245.72 , 243.308 , 0.937 , 0 , 244.318 , 0.998 , 21.511 , 0.12 , 0 , 49.984 , 0.04 , 0.877 ,
 212524150 ,"11/03/2013 23:20:00",, 0.245 , 0 , 245.792 , 243.741 , 0.937 , 0 , 244.802 , 1.028 , 25.818 , 0.119 , 0 , 49.98 , 0.03 , 0.877 ,
