"SerialNo","ReadingDate","THD Current Phase B","THD Voltage Phase C","Import Wh Total","Reactive Power Phase B (vars)","Active Power Phase C (Watts)","Voltage Phase A","Voltage PhaseA Maximum","THD Voltage Phase A","Voltage PhaseB Minimum","Active Power Phase A (Watts)","THD Current Phase C","Voltage PhaseA Minimum","THD Current Phase A","Voltage Phase B","Voltage PhaseC Maximum","Reactive Power Phase C (vars)","Active Power Phase B (Watts)","Voltage Phase C","Voltage PhaseC Minimum","THD Voltage Phase B","Reactive Power Phase A (vars)","Voltage PhaseB Maximum","Export Wh Total"
 212524174 ,"11/03/2013 23:50:00",,,,-7.106 , 1.22 , 244.483 , 0 ,, 9.372 , 0 ,, 234.125 ,, 13.998 , 10.745 , 0.128 , 0 ,, 50.027 ,, 0 , 0 ,
 212524174 ,12/03/2013 ,,, 0 ,-10.578 , 1.64 , 238.969 , 238.01 ,, 13.907 , 0 ,, 238.608 ,, 14.119 , 19.358 , 0.122 , 0 ,, 50.008 ,, 0 , 13.816 , 2.87 
 212524174 ,"12/03/2013 00:10:00",,,,-10.578 , 1.64 , 239.041 , 236.794 ,, 13.968 , 0 ,, 238.66 ,, 14.209 , 19.907 , 0.02 , 0 ,, 49.98 ,, 0 , 13.847 ,
 212524174 ,"12/03/2013 00:20:00",,,,-10.578 , 1.64 , 238.866 , 237.959 ,, 13.998 , 0 ,, 238.546 ,, 14.088 , 20.094 , 0.08 , 0 ,, 49.949 ,, 0 , 13.937 ,
 212524174 ,"12/03/2013 00:30:00",,, 0 ,-10.619 , 1.65 , 239.824 , 238.309 ,, 13.968 , 0 ,, 239.227 ,, 14.149 , 20.193 , 0.16 , 0 ,, 50.004 ,, 0 , 13.907 , 4.93 
 212524174 ,"12/03/2013 00:40:00",,,,-10.578 , 1.65 , 239.371 , 237.876 ,, 14.058 , 0 ,, 238.443 ,, 14.209 , 20.248 , 0.155 , 0 ,, 49.957 ,, 0 , 13.907 ,
 212524174 ,"12/03/2013 00:50:00",,,,-10.619 , 1.65 , 239.742 , 237.052 ,, 14.028 , 0 ,, 239.051 ,, 14.149 , 21.138 , 0.18 , 0 ,, 49.949 ,, 0 , 13.968 ,
 212524174 ,"12/03/2013 01:00:00",,, 0 ,-10.619 , 1.65 , 239.969 , 238.392 ,, 14.058 , 0 ,, 239.196 ,, 14.24 , 21.039 , 0.179 , 0 ,, 50.008 ,, 0 , 13.937 , 4.94 
 212524174 ,"12/03/2013 01:10:00",,,,-10.619 , 1.65 , 239.763 , 237.536 ,, 14.028 , 0 ,, 239.546 ,, 14.179 , 21.094 , 0.179 , 0 ,, 49.977 ,, 0 , 13.937 ,
 212524174 ,"12/03/2013 01:20:00",,,,-10.66 , 1.65 , 240.556 , 239.371 ,, 14.028 , 0 ,, 240.072 ,, 14.149 , 20.435 , 0.179 , 0 ,, 50.012 ,, 0 , 13.968 ,
 212524174 ,"12/03/2013 01:30:00",,, 0 ,-10.66 , 1.66 , 241.896 , 240.072 ,, 14.058 , 0 ,, 241.195 ,, 14.179 , 20.039 , 0.176 , 0 ,, 49.996 ,, 0 , 14.028 , 4.96 
 212524174 ,"12/03/2013 01:40:00",,,,-10.66 , 1.65 , 241.989 , 239.371 ,, 14.058 , 0 ,, 241.164 ,, 14.3 , 20.566 , 0.17 , 0 ,, 49.992 ,, 0 , 13.937 ,
 212524174 ,"12/03/2013 01:50:00",,,,-10.66 , 1.66 , 240.329 , 239.577 ,, 14.149 , 0 ,, 239.958 ,, 14.24 , 21.346 , 0.17 , 0 ,, 49.984 ,, 0 , 14.088 ,
 212524174 ,"12/03/2013 02:00:00",,, 0 ,-10.7 , 1.67 , 240.628 , 238.113 ,, 14.209 , 0 ,, 240.237 ,, 14.33 , 20.94 , 0.179 , 0 ,, 50.031 ,, 0 , 14.088 , 4.99 
 212524174 ,"12/03/2013 02:10:00",,,,-10.7 , 1.66 , 241.01 , 240.103 ,, 14.179 , 0 ,, 240.525 ,, 14.3 , 20.588 , 0.18 , 0 ,, 50.023 ,, 0 , 14.119 ,
 212524174 ,"12/03/2013 02:20:00",,,,-10.7 , 1.55 , 241.216 , 0 ,, 14.149 , 0 ,, 239.835 ,, 14.3 , 20.347 , 0.179 , 0 ,, 50.012 ,, 0 , 0 ,
 212524174 ,"12/03/2013 02:30:00",,, 0 , 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 , 3.2 
 212524174 ,"12/03/2013 02:40:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 02:50:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 03:00:00",,, 0 , 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 , 0 
 212524174 ,"12/03/2013 03:10:00",,,,-8.209 , 0.28 , 243.576 , 238.959 ,, 10.854 , 0 ,, 240 ,, 14.149 , 6.888 , 0.17 , 0.01 ,, 49.996 ,, 0 , 0.786 ,
 212524174 ,"12/03/2013 03:20:00",,,,-10.823 , 1.68 , 240.072 , 237.588 ,, 14.391 , 0 ,, 239.525 ,, 14.905 , 21.665 , 0.179 , 0 ,, 49.973 ,, 0 , 14.088 ,
 212524174 ,"12/03/2013 03:30:00",,, 0 ,-6.29 , 0.84 , 242.514 , 239 ,, 8.133 , 0 ,, 241.319 ,, 15.63 , 21.786 , 0.178 , 0.08 ,, 49.996 ,, 0 , 5.412 , 2.9 
 212524174 ,"12/03/2013 03:40:00",,,,-4.411 , 0.56 , 243.607 , 0 ,, 5.593 , 0 ,, 242.04 ,, 5.865 , 21.775 , 0.176 , 0.01 ,, 49.973 ,, 0 , 0 ,
 212524174 ,"12/03/2013 03:50:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 04:00:00",,, 0 , 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 , 0.56 
 212524174 ,"12/03/2013 04:10:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 04:20:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 04:30:00",,, 0 , 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 , 0 
 212524174 ,"12/03/2013 04:40:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 04:50:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 05:00:00",,, 0 , 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 , 0 
 212524174 ,"12/03/2013 05:10:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 05:20:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 05:30:00",,, 0 , 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 , 0 
 212524174 ,"12/03/2013 05:40:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 05:50:00",,,, 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 ,
 212524174 ,"12/03/2013 06:00:00",,, 0 , 0 , 0 , 0 , 0 ,, 0 , 0 ,, 0 ,, 0 , 0 , 0 , 0 ,, 0 ,, 0 , 0 , 0 
