"SerialNo","ReadingDate","Import Wh Total","Q3 Wh Total","Current Main Maximum","Current Main Minimum","Signal Strength","Voltage Main Maximum","Q1 Wh Total","Voltage Total","System Frequency","Q4 Wh Total","Apparant Power Total (VA)","Voltage Main Minimum","Q2 Wh Total","Export Wh Total"
 212175501 ,"14/01/2013 23:20:00",, 0 , 0.125 , 0.064 , 18.896 , 245.287 , 0 , 241.937 , 50.063 , 0.001 , 0.015 , 238.01 , 0 ,
 212175501 ,"14/01/2013 23:30:00", 0.002 , 0 , 0.079 , 0.064 , 22.994 , 244.473 , 0 , 241.607 , 50.008 , 0.001 , 0.015 , 238.165 , 0 , 0 
 212175501 ,"14/01/2013 23:40:00",, 0 , 0.076 , 0.064 , 23.027 , 249.245 , 0 , 244.638 , 50.016 , 0.001 , 0.015 , 238.691 , 0 ,
 212175501 ,"14/01/2013 23:50:00",, 0 , 0.079 , 0.064 , 23.038 , 249.276 , 0 , 246.616 , 49.922 , 0 , 0.015 , 242.648 , 0 ,
 212175501 ,15/01/2013 , 0.002 , 0 , 0.079 , 0.064 , 22.994 , 250.801 , 0 , 247.719 , 49.965 , 0.001 , 0.015 , 244.431 , 0 , 0 
 212175501 ,"15/01/2013 00:10:00",, 0 , 0.076 , 0.064 , 23.346 , 248.956 , 0 , 246.75 , 49.988 , 0.001 , 0.015 , 242.576 , 0 ,
 212175501 ,"15/01/2013 00:20:00",, 0 , 0.076 , 0.064 , 23.126 , 249.667 , 0 , 247.091 , 50.02 , 0.001 , 0.015 , 244.545 , 0 ,
 212175501 ,"15/01/2013 00:30:00", 0.002 , 0 , 0.181 , 0.064 , 23.115 , 250.172 , 0 , 247.431 , 49.992 , 0 , 0.015 , 242.968 , 0 , 0 
 212175501 ,"15/01/2013 00:40:00",, 0 , 0.076 , 0.064 , 23.093 , 246.781 , 0 , 244.39 , 49.918 , 0.001 , 0.015 , 240.288 , 0 ,
 212175501 ,"15/01/2013 00:50:00",, 0 , 0.072 , 0.064 , 22.95 , 248.523 , 0 , 246.555 , 49.98 , 0.001 , 0.015 , 244.442 , 0 ,
 212175501 ,"15/01/2013 01:00:00", 0.003 , 0 , 0.072 , 0.064 , 22.917 , 249.544 , 0 , 247.07 , 49.984 , 0.001 , 0.015 , 244.462 , 0 , 0 
 212175501 ,"15/01/2013 01:10:00",, 0 , 0.072 , 0.064 , 22.939 , 247.637 , 0 , 246.142 , 49.949 , 0 , 0.015 , 243.504 , 0 ,
 212175501 ,"15/01/2013 01:20:00",, 0 , 0.174 , 0.06 , 19.666 , 248.626 , 0 , 246.843 , 49.984 , 0.001 , 0.015 , 244.668 , 0 ,
 212175501 ,"15/01/2013 01:30:00", 0.002 , 0 , 0.072 , 0.06 , 22.797 , 247.297 , 0 , 246.029 , 50.031 , 0.001 , 0.015 , 244.617 , 0 , 0 
 212175501 ,"15/01/2013 01:40:00",, 0 , 0.072 , 0.06 , 23.104 , 247.297 , 0 , 246.441 , 49.984 , 0.001 , 0.015 , 244.411 , 0 ,
 212175501 ,"15/01/2013 01:50:00",, 0 , 0.064 , 0.06 , 22.852 , 247.049 , 0 , 243.978 , 49.949 , 0 , 0.01 , 238.783 , 0 ,
 212175501 ,"15/01/2013 02:00:00", 0.002 , 0 , 0.064 , 0.06 , 23.401 , 245.493 , 0 , 244.596 , 49.973 , 0.001 , 0.01 , 243.463 , 0 , 0 
 212175501 ,"15/01/2013 02:10:00",, 0 , 0.064 , 0.06 , 22.928 , 247.111 , 0 , 245.823 , 50.02 , 0.001 , 0.01 , 244.576 , 0 ,
 212175501 ,"15/01/2013 02:20:00",, 0 , 0.068 , 0.06 , 22.742 , 247.4 , 0 , 246.967 , 50.039 , 0.001 , 0.015 , 246.421 , 0 ,
 212175501 ,"15/01/2013 02:30:00", 0.002 , 0 , 0.166 , 0.06 , 23.467 , 247.637 , 0 , 247.152 , 49.977 , 0 , 0.015 , 246.4 , 0 , 0 
 212175501 ,"15/01/2013 02:40:00",, 0 , 0.064 , 0.06 , 25.038 , 247.018 , 0 , 246.452 , 49.934 , 0.001 , 0.015 , 245.72 , 0 ,
 212175501 ,"15/01/2013 02:50:00",, 0 , 0.064 , 0.06 , 25.038 , 247.389 , 0 , 246.513 , 49.961 , 0.001 , 0.015 , 245.359 , 0 ,
 212175501 ,"15/01/2013 03:00:00", 0.003 , 0 , 0.068 , 0.06 , 25.345 , 247.967 , 0 , 246.575 , 49.984 , 0.001 , 0.015 , 244.926 , 0 , 0 
 212175501 ,"15/01/2013 03:10:00",, 0 , 0.155 , 0.06 , 23.928 , 246.689 , 0 , 245.967 , 49.953 , 0 , 0.015 , 245.153 , 0 ,
 212175501 ,"15/01/2013 03:20:00",, 0 , 0.197 , 0.06 , 0 , 247.338 , 0 , 246.544 , 50.016 , 0.001 , 0.015 , 245.524 , 0 ,
