"SerialNo","ReadingDate","Import Wh Total","Q3 Wh Total","Current Main Maximum","Current Main Minimum","Signal Strength","Voltage Main Maximum","Q1 Wh Total","Voltage Total","System Frequency","Q4 Wh Total","Apparant Power Total (VA)","Voltage Main Minimum","Q2 Wh Total","Export Wh Total"
 212175561 ,"07/04/2013 11:50:00",, 0 , 1.893 , 0 , 9.69 , 246.781 , 0 , 243.566 , 50.09 , 0 , 0.01 , 0 , 0 ,
 212175561 ,"07/04/2013 12:00:00", 0.001 , 0 , 0.892 , 0 , 12.997 , 245.977 , 0 , 245.421 , 50.051 , 0.001 , 0.005 , 244.895 , 0 , 0 
 212175561 ,"07/04/2013 12:10:00",, 0 , 0 , 0 , 12.942 , 246.338 , 0 , 245.596 , 50.031 , 0 , 0 , 244.833 , 0 ,
 212175561 ,"07/04/2013 12:20:00",, 0 , 0 , 0 , 12.975 , 246.441 , 0 , 245.916 , 49.996 , 0 , 0 , 245.441 , 0 ,
 212175561 ,"07/04/2013 12:30:00", 0 , 0 , 0 , 0 , 13.184 , 246.761 , 0 , 246.019 , 49.969 , 0 , 0 , 245.101 , 0 , 0 
 212175561 ,"07/04/2013 12:40:00",, 0 , 0 , 0 , 13.535 , 246.689 , 0 , 246.132 , 49.949 , 0 , 0 , 245.421 , 0 ,
 212175561 ,"07/04/2013 12:50:00",, 0 , 0 , 0 , 13.447 , 247.42 , 0 , 246.689 , 50.004 , 0 , 0 , 246.214 , 0 ,
 212175561 ,"07/04/2013 13:00:00", 0 , 0 , 0 , 0 , 13.14 , 247.833 , 0 , 247.018 , 50.004 , 0 , 0 , 246.462 , 0 , 0 
 212175561 ,"07/04/2013 13:10:00",, 0 , 0.045 , 0 , 13.14 , 247.389 , 0 , 246.915 , 49.949 , 0 , 0 , 246.225 , 0 ,
 212175561 ,"07/04/2013 13:20:00",, 0 , 0.257 , 0 , 13.085 , 248.235 , 0 , 247.503 , 50.008 , 0 , 0 , 246.616 , 0 ,
 212175561 ,"07/04/2013 13:30:00", 0 , 0 , 0 , 0 , 13.458 , 248.296 , 0 , 247.719 , 49.984 , 0 , 0 , 246.957 , 0 , 0 
 212175561 ,"07/04/2013 13:40:00",, 0 , 0 , 0 , 13.293 , 248.41 , 0 , 247.853 , 49.98 , 0 , 0 , 247.235 , 0 ,
 212175561 ,"07/04/2013 13:50:00",, 0 , 0 , 0 , 13.195 , 248.616 , 0 , 248.08 , 50.004 , 0 , 0 , 247.338 , 0 ,
 212175561 ,"07/04/2013 14:00:00", 0 , 0 , 0 , 0 , 13.118 , 249.008 , 0 , 248.296 , 50.016 , 0 , 0 , 247.637 , 0 , 0 
 212175561 ,"07/04/2013 14:10:00",, 0 , 0 , 0 , 13.217 , 248.863 , 0 , 248.162 , 49.945 , 0 , 0 , 247.41 , 0 ,
 212175561 ,"07/04/2013 14:20:00",, 0 , 0 , 0 , 13.546 , 248.956 , 0 , 248.389 , 49.98 , 0 , 0 , 247.74 , 0 ,
 212175561 ,"07/04/2013 14:30:00", 0 , 0 , 0 , 0 , 13.535 , 248.678 , 0 , 248.142 , 49.961 , 0 , 0 , 247.4 , 0 , 0 
 212175561 ,"07/04/2013 14:40:00",, 0 , 0 , 0 , 13.414 , 249.162 , 0 , 248.307 , 49.992 , 0 , 0 , 247.606 , 0 ,
 212175561 ,"07/04/2013 14:50:00",, 0 , 0.261 , 0 , 13.491 , 249.172 , 0 , 247.328 , 49.965 , 0 , 0 , 246.225 , 0 ,
 212175561 ,"07/04/2013 15:00:00", 0 , 0 , 0 , 0 , 13.447 , 247.359 , 0 , 246.709 , 49.949 , 0 , 0 , 245.885 , 0 , 0 
 212175561 ,"07/04/2013 15:10:00",, 0 , 0 , 0 , 12.887 , 247.451 , 0 , 246.792 , 49.973 , 0 , 0 , 246.039 , 0 ,
