"SerialNo","ReadingDate","Import Wh Total","THD Voltage Main Minimum","Q3 Wh Total","Current Main Maximum","THD Current Main Minimum","Current Main Minimum","Voltage Main Maximum","Signal Strength","Q1 Wh Total","Voltage Total","Active Power Total (Watts)","System Frequency","THD Voltage Main Maximum","Q4 Wh Total","Apparant Power Total (VA)","Reactive Power Total (vars)","Voltage Main Minimum","Q2 Wh Total","THD Current Main Maximum","Export Wh Total"
 212175540 ,"23/01/2013 09:00:00", 0.005 ,, 0 , 0.181 ,, 0.132 , 244.174 , 30.992 , 0.001 , 241.855 ,, 50.008 ,, 0.003 , 0.036 ,, 240.113 , 0 ,, 0 
 212175540 ,"23/01/2013 09:10:00",,, 0 , 0.144 ,, 0.132 , 243.895 , 30.992 , 0.003 , 241.638 ,, 49.98 ,, 0 , 0.031 ,, 239.051 , 0 ,,
 212175540 ,"23/01/2013 09:20:00",,, 0 , 0.344 ,, 0.132 , 244.431 , 30.992 , 0.002 , 240.597 ,, 49.953 ,, 0.002 , 0.031 ,, 235.825 , 0 ,,
 212175540 ,"23/01/2013 09:30:00", 0.011 ,, 0 , 0.151 ,, 0.132 , 242.762 , 30.992 , 0.003 , 240.762 ,, 49.969 ,, 0.001 , 0.031 ,, 237.248 , 0 ,, 0 
 212175540 ,"23/01/2013 09:40:00",,, 0 , 0.144 ,, 0.132 , 242.638 , 30.992 , 0.003 , 239.443 ,, 49.945 ,, 0.001 , 0.031 ,, 236.464 , 0 ,,
 212175540 ,"23/01/2013 09:50:00",,, 0 , 0.34 ,, 0.128 , 242.195 , 30.883 , 0.003 , 240.608 ,, 49.996 ,, 0.001 , 0.031 ,, 237.918 , 0 ,,
 212175540 ,"23/01/2013 10:00:00", 0.011 ,, 0 , 0.197 ,, 0.128 , 242.411 , 30.992 , 0.002 , 240.566 ,, 49.996 ,, 0.001 , 0.031 ,, 238.577 , 0 ,, 0 
 212175540 ,"23/01/2013 10:10:00",,, 0 , 0.14 ,, 0.128 , 245.266 , 30.992 , 0.003 , 242.916 ,, 49.996 ,, 0 , 0.031 ,, 238.938 , 0 ,,
 212175540 ,"23/01/2013 10:20:00",,, 0 , 0.14 ,, 0.125 , 245.843 , 30.729 , 0.004 , 242.937 ,, 49.992 ,, 0.001 , 0.031 ,, 239.732 , 0 ,,
 212175540 ,"23/01/2013 10:30:00", 0.012 ,, 0 , 0.193 ,, 0.128 , 244.225 , 30.992 , 0.003 , 242.432 ,, 49.941 ,, 0 , 0.031 ,, 240.69 , 0 ,, 0 
 212175540 ,"23/01/2013 10:40:00",,, 0 , 0.14 ,, 0.128 , 244.029 , 30.992 , 0.002 , 241.989 ,, 49.973 ,, 0.001 , 0.031 ,, 240.031 , 0 ,,
 212175540 ,"23/01/2013 10:50:00",,, 0 , 0.155 ,, 0.128 , 246.081 , 30.839 , 0.003 , 243.411 ,, 50.008 ,, 0.001 , 0.031 ,, 240.278 , 0 ,,
 212175540 ,"23/01/2013 11:00:00", 0.011 ,, 0 , 0.144 ,, 0.125 , 245.204 , 30.916 , 0.002 , 242.463 ,, 50.023 ,, 0.002 , 0.031 ,, 237.454 , 0 ,, 0 
 212175540 ,"23/01/2013 11:10:00",,, 0 , 0.147 ,, 0.128 , 242.628 , 30.652 , 0.003 , 240.072 ,, 49.969 ,, 0.001 , 0.031 ,, 236.959 , 0 ,,
 212175540 ,"23/01/2013 11:20:00",,, 0 , 0.794 ,, 0.132 , 241.855 , 30.685 , 0.002 , 238.619 ,, 49.98 ,, 0.001 , 0.026 ,, 234.547 , 0 ,,
 212175540 ,"23/01/2013 11:30:00", 0.011 ,, 0 , 0.144 ,, 0.132 , 242.226 , 30.992 , 0.002 , 238.526 ,, 49.941 ,, 0.002 , 0.031 ,, 234.228 , 0 ,, 0 
 212175540 ,"23/01/2013 11:40:00",,, 0 , 0.144 ,, 0.128 , 243.133 , 30.992 , 0.004 , 240.566 ,, 49.957 ,, 0 , 0.031 ,, 237.268 , 0 ,,
 212175540 ,"23/01/2013 11:50:00",,, 0 , 0.159 ,, 0.128 , 242.968 , 30.883 , 0.003 , 241.123 ,, 49.93 ,, 0.001 , 0.031 ,, 237.268 , 0 ,,
 212175540 ,"23/01/2013 12:00:00", 0.011 ,, 0 , 0.185 ,, 0.128 , 243.287 , 30.992 , 0.002 , 241.236 ,, 49.922 ,, 0.001 , 0.031 ,, 237.371 , 0 ,, 0 
 212175540 ,"23/01/2013 12:10:00",,, 0 , 0.155 ,, 0.128 , 244.308 , 30.992 , 0.003 , 241.731 ,, 49.926 ,, 0.001 , 0.031 ,, 237.846 , 0 ,,
 212175540 ,"23/01/2013 12:20:00",,, 0 , 0.14 ,, 0.128 , 243.741 , 30.992 , 0.003 , 242.051 ,, 49.941 ,, 0 , 0.031 ,, 239.402 , 0 ,,
 212175540 ,"23/01/2013 12:30:00", 0.011 ,, 0 , 0.223 ,, 0.128 , 243.277 , 30.992 , 0.002 , 241.061 ,, 49.957 ,, 0.002 , 0.031 ,, 238.763 , 0 ,, 0 
 212175540 ,"23/01/2013 12:40:00",,, 0 , 0.14 ,, 0.128 , 242.968 , 30.817 , 0.002 , 240.865 ,, 49.926 ,, 0.002 , 0.031 ,, 238.567 , 0 ,,
 212175540 ,"23/01/2013 12:50:00",,, 0 , 0.163 ,, 0.128 , 243.524 , 30.905 , 0.003 , 241.36 ,, 49.961 ,, 0.001 , 0.031 ,, 237.31 , 0 ,,
